"","序號","抽籤日期","證券名稱","證券代號","發行市場","申購開始日","申購結束日","承銷股數","實際承銷股數","承銷價(元)","實際承銷價(元)","撥券日期(上市、上櫃日期)","主辦券商","申購股數","總承銷金額(元)","總合格件","中籤率(%)","取消公開抽籤","Open","High","Low","ClosePrice","Volume","Adjusted","day"
"116",121,2018-07-10,"晶相光","3530","初上市",2018-07-04,2018-07-06,1678000,1678000,101,101,2018-07-16,"永豐金",1000,169478000,151912,1.1,NA,150,153.970001,149.009995,150,37150,141.14621,"2018-07-04"
"117",124,2018-07-04,"昇陽半","8028","初上市",2018-06-28,2018-07-02,2648000,2648000,24.6,24.6,2018-07-10,"福邦",1000,65140800,185702,1.42,NA,36.792454,36.990566,36.424526,36.792454,563662,33.889877,"2018-06-28"
"118",125,2018-07-03,"皇普","2528","上市增資",2018-06-27,2018-06-29,4050000,4050000,14,14,2018-07-11,"福邦",1000,56700000,68191,5.93,NA,17,17.1,16.799999,16.85,21000,16.85,"2018-06-27"
"119",135,2018-06-22,"榮科","4989","初上市",2018-06-15,2018-06-20,4055000,4055000,24.8,24.8,2018-06-28,"元大",1000,100564000,177780,2.28,NA,33.889999,33.91,33.549999,33.889999,516394,27.953947,"2018-06-15"
"120",150,2018-05-14,"鈺邦","6449","上市增資",2018-05-08,2018-05-10,468000,468000,48,48,2018-05-22,"元大",1000,22464000,118177,0.39,NA,61,61.099998,58.700001,58.799999,3275204,53.327847,"2018-05-08"
"121",151,2018-05-03,"聯嘉","6288","初上市",2018-04-26,2018-04-30,3522000,3522000,18,18,2018-05-09,"台新",1000,63396000,145555,2.41,NA,24.940001,25.49,24.77,24.940001,602602,22.463671,"2018-04-26"
"122",162,2018-04-03,"上福全球","6128","上市增資",2018-03-29,2018-03-31,3400000,3400000,35,35,2018-04-16,"凱基",1000,1.19e+08,57792,5.88,NA,38.049999,38.099998,36.799999,38,1708774,31.292292,"2018-03-29"
"123",173,2018-03-12,"嘉聯益","6153","上市增資",2018-03-06,2018-03-08,6532000,6532000,38,38,2018-03-20,"台新",1000,248216000,1623,100,NA,36.169807,36.883686,36.169807,36.169807,7083795,34.996372,"2018-03-06"
"124",181,2018-03-06,"弘憶","3312","上市增資",2018-02-27,2018-03-02,850000,850000,7,7,2018-04-10,"合庫",1000,5950000,10508,8.08,NA,5.179822,5.179822,5.179822,5.179822,0,4.769864,"2018-02-27"
"125",184,2018-02-12,"亞航","2630","初上市",2018-02-06,2018-02-08,2544000,2544000,22,22,2018-02-22,"台新",1000,55968000,163089,1.55,NA,35.714287,36.804028,34.798534,35.714287,77938,32.475899,"2018-02-06"
"126",190,2018-02-01,"必應","6625","初上市",2018-01-26,2018-01-30,620000,620000,65,65,2018-02-07,"台新",1000,40300000,139033,0.44,NA,77.701736,77.701736,75.17643,77.701736,22827,74.260567,"2018-01-26"
"127",191,2018-02-01,"泰山","1218","上市增資",2018-01-26,2018-01-30,12467000,12467000,16.3,16.3,2018-02-09,"元大",1000,203212100,8039,100,NA,16.85,16.950001,16.299999,16.6,3540456,15.09445,"2018-01-26"
"128",192,2018-01-30,"時碩工業","4566","初上市",2018-01-24,2018-01-26,1785000,1785000,60,60,2018-02-05,"凱基",1000,107100000,169138,1.05,NA,79.309998,80,77,79.309998,175908,67.453758,"2018-01-24"
"129",193,2018-01-29,"安集","6477","上市增資",2018-01-23,2018-01-25,1020000,1020000,20,20,2018-02-06,"國泰",1000,20400000,66755,1.52,NA,23.9,23.950001,23.15,23.15,516649,20.905931,"2018-01-23"
"130",194,2018-01-24,"鋼聯","6581","初上市",2018-01-18,2018-01-22,1925000,1925000,86,86,2018-01-30,"康和",1000,165550000,187476,1.02,NA,117,120.989998,115.199997,117,620065,97.180038,"2018-01-18"
"131",197,2018-01-17,"寶齡富錦","1760","初上市",2018-01-11,2018-01-15,2148000,2148000,52,52,2018-01-23,"凱基",1000,111696000,148019,1.45,NA,68.68,68.800003,68,68.68,138910,65.120346,"2018-01-11"
"132",202,2018-01-10,"貿聯-KY","3665","第一上市公司現金增資",2018-01-04,2018-01-08,255000,255000,210,210,2018-01-18,"元大",1000,53550000,104255,0.24,NA,281.5,283,267,273.5,3188469,238.384995,"2018-01-04"
"133",207,2018-01-05,"凱羿-KY","2939","第一上市公司初上市",2017-12-29,2018-01-03,1124000,1124000,156,156,2018-01-11,"永豐金",1000,175344000,149653,0.75,NA,220.630005,230,218.369995,220.630005,159273,167.906769,"2017-12-29"
"134",3,2019-12-25,"同泰","3321","上市增資",2019-12-19,2019-12-23,2805000,2805000,12,12,2020-01-03,"富邦",1000,33660000,71273,3.93,NA,13.028654,13.555548,13.028654,13.268151,552442,13.268151,"2019-12-19"
"135",5,2019-12-23,"聯合再生","3576","上市增資",2019-12-17,2019-12-19,13500000,13500000,6.52,6.52,2019-12-31,"凱基",5000,88020000,68298,3.95,NA,12.636706,12.742748,12.548337,12.619032,2988574,12.619032,"2019-12-17"
"136",8,2019-12-18,"JPP-KY","5284","第一上市公司現金增資",2019-12-12,2019-12-16,357000,357000,47,47,2019-12-26,"福邦",1000,16779000,39979,0.89,NA,50.400002,50.900002,50.400002,50.400002,47013,45.706642,"2019-12-12"
"137",9,2019-12-17,"榮成","1909","上市增資",2019-12-11,2019-12-13,4500000,4500000,13.1,13.1,2019-12-25,"第一金",1000,58950000,43294,10.39,NA,13.75,13.8,13.6,13.7,4528806,13.13702,"2019-12-11"
"138",11,2019-12-13,"惠特","6706","初上市",2019-12-09,2019-12-11,1235000,1235000,56,56,2019-12-19,"凱基",1000,69160000,343119,0.35,NA,81.949997,84.290001,81.900002,82.620003,582612,80.480919,"2019-12-09"
"139",19,2019-12-10,"艾美特-KY","1626","上市增資",2019-12-04,2019-12-06,1020000,1020000,26,26,2019-12-18,"凱基",1000,26520000,93426,1.09,NA,29.803921,30.294117,28.57843,29.166666,637602,28.330111,"2019-12-04"
"140",20,2019-12-06,"嘉基","6715","初上市",2019-12-02,2019-12-04,1130000,1130000,70.8,70.8,2019-12-12,"中國信託",1000,80004000,344178,0.32,NA,100.68,101,99.699997,100,40620,96.663963,"2019-12-02"
"141",21,2019-12-05,"威宏-KY","8442","第一上市公司現金增資",2019-11-29,2019-12-03,850000,850000,48,48,2019-12-13,"永豐金",1000,40800000,147507,0.57,NA,56.900002,57,56.5,56.5,82000,56.128292,"2019-11-29"
"142",22,2019-12-03,"和潤企業","6592","初上市",2019-11-27,2019-11-29,44222000,44222000,53,53,2019-12-09,"台新",1000,2343766000,932059,4.74,NA,130.990005,161,130.979996,157.5,773758,145.707108,"2019-11-27"
"143",25,2019-11-27,"泰福-KY","6541","第一上市公司現金增資",2019-11-21,2019-11-25,1800000,1800000,48,48,2019-12-05,"凱基",1000,86400000,3074,58.55,NA,48.299999,48.849998,48.049999,48.25,319493,48.25,"2019-11-21"
"144",26,2019-11-27,"長榮","2603","上市增資",2019-11-21,2019-11-25,25500000,25500000,11,11,2019-12-05,"永豐金",5000,280500000,195544,2.6,NA,12.7,12.7,12.5,12.55,7661456,12.310867,"2019-11-21"
"145",27,2019-11-26,"國泰金","2882","上市增資",2019-11-20,2019-11-22,51510000,51510000,35,35,2019-12-04,"元大",1000,1802850000,472494,10.9,NA,42.400002,42.450001,42.200001,42.299999,12098506,38.60857,"2019-11-20"
"146",28,2019-11-21,"工信","5521","上市增資",2019-11-15,2019-11-19,8500000,8500000,6.5,6.5,2019-11-29,"元富",1000,55250000,94926,8.95,NA,7.52,7.77,7.51,7.71,4518952,7.71,"2019-11-15"
"147",29,2019-11-21,"玉晶光","3406","上市增資",2019-11-15,2019-11-19,850000,850000,355,355,2019-11-29,"永豐金",1000,301750000,119637,0.71,NA,421.5,426,419,421,4612706,408.266815,"2019-11-15"
"148",35,2019-11-19,"旭暉應材","6698","初上市",2019-11-13,2019-11-15,1128000,1128000,68,68,2019-11-25,"兆豐",1000,76704000,169137,0.66,NA,79.760002,80.050003,79.699997,79.760002,148800,76.302948,"2019-11-13"
"149",36,2019-11-12,"智易科技","3596","上市增資",2019-11-06,2019-11-08,1275000,1275000,72,72,2019-11-20,"凱基",1000,91800000,218631,0.58,NA,91.699997,92,90,90,3501101,80.438431,"2019-11-06"
"150",37,2019-11-12,"矽格","6257","上市增資",2019-11-06,2019-11-08,1445000,1445000,26.5,26.5,2019-11-20,"凱基",1000,38292500,268124,0.53,NA,39,39.700001,37,37,36640970,33.687298,"2019-11-06"
"151",47,2019-10-18,"新唐","4919","上市增資",2019-10-14,2019-10-16,6800000,6800000,45,45,2019-10-28,"中國信託",1000,3.06e+08,163600,4.15,NA,50.200001,50.799999,50,50.400002,2367142,48.836018,"2019-10-14"
"152",48,2019-10-16,"遠雄港","5607","上市增資",2019-10-08,2019-10-14,5100000,5100000,16.5,16.5,2019-10-24,"元富",1000,84150000,213652,2.38,NA,21.450001,21.549999,21.25,21.299999,600846,19.850672,"2019-10-08"
"153",51,2019-10-08,"上海商銀","5876","上市增資",2019-10-02,2019-10-04,32300000,32300000,36,36,2019-10-18,"華南永昌",1000,1162800000,446243,7.23,NA,51.299999,51.799999,51,51.099998,6114690,47.050365,"2019-10-02"
"154",59,2019-10-02,"晶碩","6491","初上市",2019-09-25,2019-09-27,2975000,2975000,152,152,2019-10-07,"元大",1000,452200000,194629,1.52,NA,197,203.990005,192.5,201,125723,196.245819,"2019-09-25"
"155",60,2019-09-24,"新光金","2888","上市增資",2019-09-18,2019-09-20,3.1e+07,3.1e+07,8.6,8.6,2019-10-02,"凱基",5000,266600000,212417,2.91,NA,9.652432,9.812141,9.64245,9.742269,55769454,8.91251,"2019-09-18"
"156",68,2019-09-17,"得力實業","1464","上市增資",2019-09-10,2019-09-12,4250000,4250000,22,22,2019-09-25,"群益金鼎",1000,93500000,77318,5.49,NA,24.1,24.299999,23.9,23.950001,2354771,21.901857,"2019-09-10"
"157",75,2019-09-09,"科定","6655","上市增資",2019-09-03,2019-09-05,765000,765000,40.2,40.2,2019-09-18,"國票",1000,30753000,4719,16.21,NA,41.299999,41.299999,40.75,40.900002,45349,34.933193,"2019-09-03"
"158",76,2019-09-09,"元晶","6443","上市增資",2019-09-03,2019-09-05,5904000,5904000,7,7,2019-09-18,"元大",2000,41328000,47707,6.18,NA,7.75846,7.768098,7.613892,7.662081,2550204,7.662081,"2019-09-03"
"159",77,2019-09-04,"駐龍","4572","初上市",2019-08-29,2019-09-02,781000,781000,140,140,2019-09-10,"台新",1000,109340000,114526,0.68,NA,167.970001,168,166.679993,167.389999,223070,151.616211,"2019-08-29"
"160",84,2019-08-30,"眾達-KY","4977","第一上市公司現金增資",2019-08-26,2019-08-28,425000,425000,65,65,2019-09-09,"凱基",1000,27625000,143368,0.29,NA,90.099998,90.900002,89.5,89.699997,518647,82.078232,"2019-08-26"
"161",85,2019-08-29,"大銀微系統","4576","初上市",2019-08-23,2019-08-27,2570000,2570000,56,56,2019-09-04,"元大",1000,143920000,238731,1.07,NA,90.949356,94.482613,89.167961,94.482613,76635,94.146645,"2019-08-23"
"162",86,2019-08-22,"和鑫","3049","上市增資",2019-08-16,2019-08-20,6650000,6650000,13.5,13.5,2019-08-30,"元大",1000,89775000,20639,32.22,NA,14.05,14.05,13.85,13.9,8992193,12.977223,"2019-08-16"
"163",88,2019-08-19,"永新-KY","4557","第一上市公司現金增資",2019-08-13,2019-08-15,442000,442000,56,56,2019-08-27,"兆豐",1000,24752000,85457,0.51,NA,70.099998,70.099998,69,69.099998,24241,60.852173,"2019-08-13"
"164",98,2019-07-31,"炎洲","4306","上市增資",2019-07-25,2019-07-29,4050000,4050000,11.7,11.7,2019-08-08,"元大",2000,47385000,42420,4.77,NA,11.911487,11.911487,11.723163,11.864406,1901684,11.1705,"2019-07-25"
"165",99,2019-07-30,"英瑞-KY　","1592","第一上市公司現金增資",2019-07-24,2019-07-26,1020000,1020000,19.2,19.2,2019-08-07,"元大",2000,19584000,94771,0.53,NA,23.75,24,23.700001,23.799999,219749,23.799999,"2019-07-24"
"166",100,2019-07-25,"樂士","1529","上市增資",2019-07-19,2019-07-23,2700000,2700000,11,11,2019-08-02,"統一",1000,29700000,71879,3.75,NA,13.55,13.6,13.3,13.35,247755,12.61443,"2019-07-19"
"167",113,2019-06-20,"中壽","2823","上市增資",2019-06-14,2019-06-18,40500000,40500000,20.6,20.6,2019-06-28,"台新",2000,834300000,212845,9.51,NA,22.924528,23.066036,22.783018,22.783018,9774037,21.844391,"2019-06-14"
"168",119,2019-05-20,"禾聯碩","5283","初上市",2019-05-14,2019-05-16,2064000,2064000,91,91,2019-05-24,"元富",1000,187824000,161392,1.27,NA,110.93,111.730003,108,110.93,85670,87.190056,"2019-05-14"
"169",120,2019-05-15,"國光生","4142","上市增資",2019-05-09,2019-05-13,10628000,10628000,18.2,18.2,2019-05-23,"台新",1000,193429600,41012,25.91,NA,19.6,19.6,19.25,19.35,703421,19.35,"2019-05-09"
"170",137,2019-04-11,"騰輝電子-KY","6672","第一上市公司初上市",2019-04-03,2019-04-09,1357000,1357000,60.06,60.06,2019-04-17,"元大",1000,81501420,253636,0.53,NA,93.470001,93.489998,90.910004,93.470001,267398,82.543991,"2019-04-03"
"171",139,2019-03-21,"緯穎","6669","初上市",2019-03-15,2019-03-19,3997000,3997000,248,248,2019-03-27,"元大",1000,991256000,259383,1.54,NA,378,383,376.019989,378,520318,339.682281,"2019-03-15"
"172",141,2019-03-20,"麗清","3346","上市增資",2019-03-14,2019-03-18,637000,637000,29,29,2019-03-28,"群益金鼎",1000,18473000,104087,0.61,NA,35,35.25,34.400002,35.200001,411614,33.627098,"2019-03-14"
"173",148,2019-03-14,"三洋紡","1472","上市增資",2019-03-08,2019-03-12,265000,265000,21.8,21.8,2019-03-22,"合庫",1000,5777000,144389,0.18,NA,33.900002,33.900002,32.650002,33.299999,124860,33.299999,"2019-03-08"
"174",150,2019-03-08,"中櫃","2613","上市增資",2019-03-04,2019-03-06,2375000,2375000,11.8,11.8,2019-03-18,"富邦",1000,28025000,51059,4.65,NA,13.25,13.25,12.95,13,705074,12.385549,"2019-03-04"
"175",151,2019-03-08,"樺漢","6414","上市增資",2019-03-04,2019-03-06,510000,510000,220,220,2019-03-18,"元大",1000,112200000,132355,0.38,NA,268.588867,270.40979,264.49173,270.40979,1812888,258.385681,"2019-03-04"
"176",153,2019-02-27,"元翎","4564","初上市",2019-02-21,2019-02-25,3400000,3400000,25,25,2019-03-07,"福邦",1000,8.5e+07,255849,1.32,NA,46.779999,47.66,46.330002,46.779999,1623818,40.950031,"2019-02-21"
"177",166,2019-01-28,"台船","2208","上市增資",2019-01-22,2019-01-24,9e+06,9e+06,22.52,22.52,2019-02-12,"凱基",1000,202680000,100936,8.91,NA,24.4,24.65,24.25,24.4,788957,24.4,"2019-01-22"
"178",172,2019-01-23,"科妍","1786","上市增資",2019-01-17,2019-01-21,425000,425000,48,48,2019-02-11,"元大",1000,20400000,130728,0.32,NA,63.142857,63.42857,62,62.380951,548576,60.389114,"2019-01-17"
"179",173,2019-01-22,"山林水","8473","上市增資",2019-01-16,2019-01-18,476000,476000,53.6,53.6,2019-01-30,"兆豐",1000,25513600,42152,1.12,NA,57.400002,58,57.400002,57.900002,73198,51.559521,"2019-01-16"
"180",174,2019-01-21,"長榮航","2618","上市增資",2019-01-15,2019-01-17,26100000,26100000,13,13,2019-01-29,"凱基",2000,339300000,162459,8.03,NA,14.662514,14.808168,14.613963,14.808168,11259586,13.964292,"2019-01-15"
"181",176,2019-01-16,"動力-KY","6591","第一上市公司現金增資",2019-01-10,2019-01-14,225000,225000,32,32,2019-01-24,"康和",1000,7200000,48777,0.46,NA,36.755116,36.755116,36.063488,36.409302,132604,32.913727,"2019-01-10"
"182",177,2019-01-15,"美律","2439","上市增資",2019-01-09,2019-01-11,340000,340000,112,112,2019-01-23,"富邦",1000,38080000,66076,0.51,NA,126.5,128.5,124.5,127,4013485,108.725235,"2019-01-09"
"183",180,2019-01-11,"錸寶科技","8104","初上市",2019-01-07,2019-01-09,2030000,2030000,60,60,2019-01-17,"福邦",1000,121800000,165930,1.22,NA,81.75,82.300003,81.199997,81.75,180586,76.977875,"2019-01-07"
"184",189,2019-01-08,"鈺齊-KY","9802","第一上市公司現金增資",2019-01-02,2019-01-04,510000,510000,38.5,38.5,2019-01-16,"國票",1000,19635000,78127,0.65,NA,47.549999,47.950001,47.049999,47.299999,72000,41.916683,"2019-01-02"
"185",190,2019-01-08,"十銓","4967","初上市",2019-01-02,2019-01-04,1477000,1477000,22,22,2019-01-14,"群益金鼎",1000,32494000,128081,1.15,NA,31.219999,32.93,31,31.219999,314630,25.820543,"2019-01-02"
"186",191,2019-01-07,"嘉澤","3533","上市增資",2018-12-28,2019-01-03,850000,850000,140,140,2019-01-15,"富邦",1000,1.19e+08,143621,0.59,NA,206.5,211.5,205.5,211.5,1293834,194.154739,"2018-12-28"
"187",8,2020-12-23,"永固-KY","5546","第一上市公司現金增資",2020-12-17,2020-12-21,281000,281000,66,66,2020-12-31,"中國信託",1000,18546000,160202,0.17,NA,80.5,80.5,79.099998,80.300003,395210,74.05658,"2020-12-17"
"188",9,2020-12-23,"允強","2034","上市增資",2020-12-17,2020-12-21,2550000,2550000,20,20,2020-12-31,"永豐金",1000,5.1e+07,283332,0.9,NA,27.35,27.4,26.65,26.9,2235022,26.9,"2020-12-17"
"189",11,2020-12-22,"立隆電","2472","上市增資",2020-12-16,2020-12-18,720000,720000,46,46,2020-12-30,"富邦",1000,33120000,257060,0.28,NA,60.799999,64,60.400002,63.900002,5270063,61.285515,"2020-12-16"
"190",15,2020-12-18,"榮成","1909","上市增資",2020-12-14,2020-12-16,5400000,5400000,14.8,14.8,2020-12-28,"第一金",1000,79920000,290815,1.85,NA,19.9,20.299999,19.549999,20.049999,12527217,19.636597,"2020-12-14"
"191",16,2020-12-18,"威鋒電子","6756","初上市",2020-12-14,2020-12-16,2231000,2231000,168,168,2020-12-24,"凱基",1000,374808000,343553,0.64,NA,300,304.5,300,300,86219,295.768036,"2020-12-14"
"192",19,2020-12-17,"上銀","2049","上市增資",2020-12-11,2020-12-15,1020000,1020000,195,195,2020-12-25,"元大",1000,198900000,386750,0.26,NA,339,346.5,336,343.5,4568031,341.502899,"2020-12-11"
"193",20,2020-12-16,"泰福-KY","6541","上市增資",2020-12-10,2020-12-14,3996000,3996000,36,36,2020-12-24,"凱基",1000,143856000,61906,6.45,NA,40.099998,40.099998,39.299999,39.549999,386231,39.549999,"2020-12-10"
"194",22,2020-12-16,"同泰","3321","上市增資",2020-12-10,2020-12-14,2550000,2550000,11.5,11.5,2020-12-24,"富邦",1000,29325000,161894,1.57,NA,15.6,15.6,15.2,15.25,787586,15.25,"2020-12-10"
"195",24,2020-12-14,"台中銀","2812","上市增資",2020-12-08,2020-12-10,21265000,21265000,10.2,10.2,2020-12-22,"凱基",5000,216903000,132649,3.2,NA,10.526315,10.526315,10.430622,10.430622,7754781,10.216196,"2020-12-08"
"196",31,2020-12-09,"華建","2530","上市增資",2020-12-03,2020-12-07,21260000,21260000,12.56,12.56,2020-12-17,"凱基",1000,267025600,126659,16.78,NA,14.25,14.25,13.95,14.25,2677417,14.25,"2020-12-03"
"197",32,2020-12-08,"安普新","6743","初上市",2020-12-02,2020-12-04,2260000,2260000,100,100,2020-12-14,"中國信託",1000,2.26e+08,233085,0.96,NA,130.5,131,129.5,129.5,366145,129.5,"2020-12-02"
"198",33,2020-12-07,"新唐","4919","上市增資",2020-12-01,2020-12-03,7200000,7200000,38,38,2020-12-15,"中國信託",1000,273600000,265807,2.7,NA,45.400002,45.599998,44.5,45.5,3807506,45.235703,"2020-12-01"
"199",34,2020-12-07,"耀登","3138","初上市",2020-12-01,2020-12-03,1235000,1235000,46,46,2020-12-11,"國票",1000,56810000,408112,0.3,NA,85.5,91,85.5,89,509546,88.220184,"2020-12-01"
"200",43,2020-12-02,"三商壽","2867","上市增資",2020-11-26,2020-11-30,11700000,11700000,7.55,7.55,2020-12-10,"國泰",1000,88335000,139510,8.38,NA,8.6,8.67,8.59,8.61,5536470,8.61,"2020-11-26"
"201",44,2020-11-27,"元晶","6443","上市增資",2020-11-23,2020-11-25,5678000,5678000,25.8,25.8,2020-12-07,"元大",1000,146492400,464175,1.22,NA,40.5,40.900002,38.299999,39.900002,35296951,39.900002,"2020-11-23"
"202",45,2020-11-26,"三福化","4755","上市增資",2020-11-20,2020-11-24,850000,850000,48.7,48.7,2020-12-04,"第一金",1000,41395000,324643,0.26,NA,71.099998,71.099998,70.199997,70.699997,80000,67.426849,"2020-11-20"
"203",52,2020-11-18,"八貫","1342","初上市",2020-11-12,2020-11-16,1358000,1358000,55,55,2020-11-24,"富邦",1000,74690000,262807,0.51,NA,74.599998,74.800003,74.099998,74.5,30200,71.088829,"2020-11-12"
"204",53,2020-11-16,"必應","6625","上市增資",2020-11-10,2020-11-12,468000,468000,30,30,2020-11-24,"台新",1000,14040000,83881,0.55,NA,35.900002,35.900002,34.450001,34.599998,89505,34.599998,"2020-11-10"
"205",55,2020-11-16,"達麗","6177","上市增資",2020-11-10,2020-11-12,2125000,2125000,25,25,2020-11-24,"合庫",1000,53125000,129015,1.64,NA,28.333332,28.627451,28.235294,28.333332,698712,28.333332,"2020-11-10"
"206",63,2020-11-09,"台通","8011","上市增資",2020-11-03,2020-11-05,1700000,1700000,14.2,14.2,2020-11-17,"元富",1000,24140000,50952,3.33,NA,15.45,15.75,15.45,15.6,311460,15.6,"2020-11-03"
"207",68,2020-10-22,"大成鋼","2027","上市增資",2020-10-16,2020-10-20,3.4e+07,3.4e+07,18,18,2020-10-30,"統一",2000,6.12e+08,215621,7.88,NA,21.4,21.450001,21,21.15,7083506,20.818235,"2020-10-16"
"208",69,2020-10-16,"王道銀行","2897","上市增資",2020-10-12,2020-10-14,30400000,30400000,6.35,6.35,2020-10-26,"元大",5000,193040000,41986,14.48,NA,6.67,6.69,6.64,6.64,2366380,6.457331,"2020-10-12"
"209",71,2020-10-12,"永冠-KY","1589","第一上市公司現金增資",2020-10-05,2020-10-07,438000,438000,80,80,2020-10-20,"中國信託",1000,35040000,143539,0.3,NA,88.699997,91.300003,88.599998,91.099998,1410081,89.045113,"2020-10-05"
"210",79,2020-10-05,"汎德永業","2247","初上市",2020-09-25,2020-09-29,1914000,1914000,180,180,2020-10-12,"群益金鼎",1000,344520000,731666,0.26,NA,335.5,336,325.5,331,217660,331,"2020-09-25"
"211",80,2020-09-30,"動力-KY","6591","第一上市公司現金增資",2020-09-24,2020-09-28,170000,170000,47,47,2020-10-13,"康和",1000,7990000,95522,0.17,NA,57.900002,57.900002,54,54,1812900,51.691158,"2020-09-24"
"212",81,2020-09-28,"鈺齊-KY","9802","第一上市公司現金增資",2020-09-22,2020-09-24,850000,850000,75,75,2020-10-08,"國票",1000,63750000,321256,0.26,NA,121.5,121.5,116,116.5,1009816,114.363319,"2020-09-22"
"213",98,2020-08-25,"新日興","3376","上市增資",2020-08-19,2020-08-21,850000,850000,110,110,2020-09-02,"凱基",1000,93500000,189906,0.44,NA,148,153,148,149,1902338,140.144577,"2020-08-19"
"214",100,2020-08-20,"艾姆勒","2241","初上市",2020-08-14,2020-08-18,2125000,2125000,50,50,2020-08-26,"元大",1000,106250000,174291,1.21,NA,62.200001,62.900002,61.099998,62.099998,306317,61.422882,"2020-08-14"
"215",102,2020-08-19,"匯僑設計","6754","初上市",2020-08-13,2020-08-17,1020000,1020000,45,45,2020-08-25,"凱基",1000,45900000,217348,0.46,NA,66.5,66.5,64.199997,64.5,49690,60.697895,"2020-08-13"
"216",109,2020-08-03,"訊映","4155","上市增資",2020-07-28,2020-07-30,1318000,1318000,26,26,2020-08-11,"統一",1000,34268000,26083,5.05,NA,27.299999,27.6,27.049999,27.1,384624,25.649591,"2020-07-28"
"217",117,2020-07-13,"虹揚-KY","6573","第一上市公司現金增資",2020-07-07,2020-07-09,1165000,1165000,16.5,16.5,2020-07-21,"富邦",1000,19222500,88262,1.31,NA,20.4,20.450001,19,19.25,2074766,19.25,"2020-07-07"
"218",121,2020-06-22,"國碩","2406","上市增資",2020-06-16,2020-06-18,7010000,7010000,8.5,8.5,2020-07-02,"台新",5000,59585000,27436,5.11,NA,8.96,9.05,8.89,8.91,1745049,8.91,"2020-06-16"
"219",122,2020-06-15,"定穎","6251","上市增資",2020-06-09,2020-06-11,2550000,2550000,16,16,2020-06-23,"富邦",1000,40800000,85256,2.99,NA,20.51206,20.568106,19.951622,20.287886,9959860,19.935053,"2020-06-09"
"220",128,2020-06-05,"科嘉-KY","5215","第一上市公司現金增資",2020-06-01,2020-06-03,425000,425000,50,50,2020-06-15,"福邦",1000,21250000,465217,0.09,NA,96.624641,97.709206,92.877975,97.709206,3793412,89.660072,"2020-06-01"
"221",129,2020-06-03,"ABC-KY","6598","第一上市公司初上市",2020-05-28,2020-06-01,1729000,1729000,48,48,2020-06-09,"永豐金",1000,82992000,499759,0.34,NA,60,60,60,60,0,60,"2020-05-28"
"222",131,2020-05-19,"瀚宇博","5469","上市增資",2020-05-13,2020-05-15,3145000,3145000,36,36,2020-05-27,"宏遠",1000,113220000,56294,5.58,NA,39.5,39.599998,38.849998,39.049999,6601591,35.840275,"2020-05-13"
"223",134,2020-05-11,"牧德","3563","上市增資",2020-05-05,2020-05-07,181000,181000,250,250,2020-05-19,"元富",1000,45250000,143169,0.12,NA,347.5,348,329,329,1926967,304.668243,"2020-05-05"
"224",135,2020-05-08,"新光金","2888","上市增資",2020-05-04,2020-05-06,35700000,35700000,7.8,7.8,2020-05-18,"永豐金",5000,278460000,112614,6.34,NA,8.3,8.33,8.18,8.27,50934878,7.565636,"2020-05-04"
"225",144,2020-04-21,"正道","1506","上市增資",2020-04-15,2020-04-17,3600000,3600000,10,10,2020-04-29,"統一",1000,3.6e+07,8028,44.84,NA,10.4,10.7,10.35,10.65,204697,10.65,"2020-04-15"
"226",150,2020-04-09,"州巧","3543","初上市",2020-04-01,2020-04-07,1800000,1800000,15,15,2020-04-15,"福邦",1000,2.7e+07,58177,3.09,NA,17.85,17.85,17.85,17.85,0,16.353909,"2020-04-01"
"227",151,2020-03-26,"聯茂","6213","上市增資",2020-03-20,2020-03-24,2550000,2550000,110,110,2020-04-07,"元大",1000,280500000,27219,9.36,NA,125,130,122.5,124,13418299,116.137459,"2020-03-20"
"228",152,2020-03-24,"台耀","4746","上市增資",2020-03-18,2020-03-20,793000,793000,37,37,2020-04-01,"凱基",1000,29341000,7332,10.81,NA,45.75,46,40.049999,40.450001,8789267,40.450001,"2020-03-18"
"229",160,2020-03-23,"群益期","6024","上市增資",2020-03-17,2020-03-19,2890000,2890000,34.4,34.4,2020-03-31,"華南永昌",1000,99416000,737,100,NA,34.5,35.25,34.400002,35,596519,31.166862,"2020-03-17"
"230",162,2020-03-19,"佳和","1449","上市增資",2020-03-13,2020-03-17,2550000,2550000,10,10,2020-03-27,"台中銀",1000,25500000,2196,100,NA,21.252304,23.491701,21.208395,23.491701,602469,23.491701,"2020-03-13"
"231",189,2020-01-10,"佳醫","4104","上市增資",2020-01-06,2020-01-08,1105000,1105000,45,45,2020-01-20,"合庫",1000,49725000,174376,0.63,NA,53.400002,53.400002,53,53.099998,364094,47.178822,"2020-01-06"
"232",191,2020-01-08,"岱宇","1598","上市增資",2020-01-02,2020-01-06,1650000,1650000,39,39,2020-01-16,"凱基",1000,64350000,31938,5.16,NA,41.5,41.849998,41.25,41.25,528743,37.692856,"2020-01-02"
"233",24,2021-08-30,"富林-KY","1341","第一上市公司現金增資",2021-08-24,2021-08-26,95000,95000,60,60,2021-09-07,"中國信託",1000,5700000,61969,0.15,NA,71.900002,71.900002,70.099998,70.900002,8013,70.900002,"2021-08-24"
