"","KSC","KBC","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计","Date","PL1_N","PH1_N","RSV","K","D","MA60","Long","Cash","YEAR"
"96",60,40,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,12,18.33,"2017"
"97",60,45,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,12,23.64,"2017"
"98",60,50,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,12,26.9999999999998,"2017"
"99",60,55,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,13,7.08999999999995,"2017"
"100",65,5,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,0,400,"2017"
"101",65,10,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,0,400,"2017"
"102",65,15,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,1,368.89,"2017"
"103",65,20,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,4,268.88,"2017"
"104",65,25,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,5,243,"2017"
"105",65,30,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,8,144.8,"2017"
"106",65,35,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,12,11.9899999999999,"2017"
"107",65,40,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,12,18.3,"2017"
"108",65,45,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,12,23.5200000000001,"2017"
"109",65,50,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,12,27.0899999999999,"2017"
"110",65,55,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,13,8.83999999999999,"2017"
"111",70,5,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,0,400,"2017"
"112",70,10,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,0,400,"2017"
"113",70,15,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,1,368.89,"2017"
"114",70,20,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,4,268.88,"2017"
"115",70,25,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,5,243.88,"2017"
"116",70,30,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,8,145.79,"2017"
"117",70,35,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,12,12.91,"2017"
"118",70,40,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,12,19.7900000000002,"2017"
"119",70,45,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,12,26.5700000000001,"2017"
"120",70,50,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,12,28.7499999999999,"2017"
"121",70,55,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,13,7.51999999999989,"2017"
"122",75,5,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,0,400,"2017"
"123",75,10,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,0,400,"2017"
"124",75,15,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,1,369.85,"2017"
"125",75,20,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,4,270.39,"2017"
"126",75,25,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,6,209.16,"2017"
"127",75,30,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,9,110.72,"2017"
"128",75,35,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,12,12.35,"2017"
"129",75,40,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,12,21.3200000000001,"2017"
"130",75,45,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,12,25.5399999999999,"2017"
"131",75,50,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,12,28.1199999999999,"2017"
"132",75,55,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,13,5.15999999999984,"2017"
