"","lb","p","max_overlap","median_reward_avg","avg_reward_avg","lose_count","trade_count"
"289",3,0.39,8,9.09817522245324,9.18640062170036,0,36
"290",3,0.4,8,9.08897768560522,9.16317393487183,0,35
"291",3,0.41,8,9.09824917280215,9.18110033335915,0,35
"292",3,0.42,8,9.12584948144413,9.20870064200113,0,35
"293",3,0.43,8,9.27186948627781,9.3547206468348,0,35
"294",3,0.44,8,9.34826378857306,9.37764762287392,0,34
"295",3,0.45,8,9.3436725597302,9.37305639403106,0,33
"296",3,0.46,8,8.50503232609026,8.53441616039112,0,33
"297",3,0.47,8,8.51201187085534,8.53743188173778,0,33
"298",3,0.48,8,8.53929760202479,8.54239183211476,0,32
"299",3,0.49,8,8.54653071305433,8.5496249431443,0,32
"300",3,0.5,8,8.58321684682141,8.58631107691139,0,32
"301",3.5,0.01,12,5.01148896844109,5.79127934012618,0,176
"302",3.5,0.02,12,5.02946778345158,5.40081821113067,0,162
"303",3.5,0.03,12,5.20503074325463,5.46470260696825,0,142
"304",3.5,0.04,12,5.35480070595485,5.77362850642361,0,136
"305",3.5,0.05,12,5.48554507518154,5.75833103885138,0,127
"306",3.5,0.06,12,5.32112067318702,5.90679032157795,0,112
"307",3.5,0.07,12,5.43446328082161,6.06960198214161,0,105
"308",3.5,0.08,12,5.61572026472367,6.20953356158378,0,101
"309",3.5,0.09,12,5.76027229735088,6.22278840623615,0,93
"310",3.5,0.1,12,5.52354103223921,5.96156530520651,0,91
"311",3.5,0.11,12,5.48225073851437,5.92489137863643,0,88
"312",3.5,0.12,12,5.47862728590346,5.78441418476295,0,80
"313",3.5,0.13,12,5.4813181923748,5.76730696802165,0,76
"314",3.5,0.14,12,5.56627684172295,5.81237869280395,0,73
"315",3.5,0.15,12,5.57172850799498,5.84845146773968,0,70
"316",3.5,0.16,12,5.54071639857331,5.77870325312026,0,69
"317",3.5,0.17,12,5.62636611438421,5.82855350935173,0,68
"318",3.5,0.18,13,5.47852461927414,5.68506611485995,0,67
"319",3.5,0.19,13,5.21510292912376,5.42729337036191,0,64
"320",3.5,0.2,13,5.14041235817766,5.39130944850321,0,63
"321",3.5,0.21,13,5.17584685847453,5.28617115658628,0,61
"322",3.5,0.22,13,5.27889140485187,5.39393349246688,0,61
"323",3.5,0.23,13,5.21282639563162,5.37344159329333,0,58
"324",3.5,0.24,13,5.27864382908758,5.4390298461686,0,57
"325",3.5,0.25,13,5.14275112444837,5.35352438689054,0,57
"326",3.5,0.26,13,5.08975573501501,5.29952826374881,0,56
"327",3.5,0.27,13,5.12505127298905,5.32971408919348,0,55
"328",3.5,0.28,13,5.1537404952234,5.35448896918077,0,55
"329",3.5,0.29,13,5.13522357229052,5.32284595834869,0,55
"330",3.5,0.3,13,5.15395416280465,5.33336378653571,0,55
"331",3.5,0.31,13,5.14193401440729,5.31252798960759,0,55
"332",3.5,0.32,13,5.15026270029972,5.25148532040186,0,54
"333",3.5,0.33,13,5.24546353821489,5.34775892134202,1,54
"334",3.5,0.34,13,5.24167202536649,5.34155970085772,1,54
"335",3.5,0.35,13,5.20326613737361,5.29224521487801,1,52
"336",3.5,0.36,13,5.22601419244947,5.30572226665136,1,52
"337",3.5,0.37,13,5.24323194250578,5.3143085943376,1,52
"338",3.5,0.38,13,5.24034637950488,5.26834718177634,1,51
"339",3.5,0.39,13,5.26116480719756,5.27342577773669,1,51
"340",3.5,0.4,13,5.26749678308892,5.27975775362805,1,51
"341",3.5,0.41,13,5.22687965788157,5.2307932525001,1,50
"342",3.5,0.42,13,5.18545398221457,5.21491748829069,1,50
"343",3.5,0.43,13,5.20135935342241,5.23082285949853,1,49
"344",3.5,0.44,13,5.24597465369184,5.27706513771573,1,49
"345",3.5,0.45,13,5.23426869058605,5.27528186885412,1,49
"346",3.5,0.46,13,5.25498622727365,5.28295458136687,1,48
"347",3.5,0.47,13,5.05594356010239,5.08448806156469,1,48
"348",3.5,0.48,13,5.06904432114347,5.1065222713138,2,48
"349",3.5,0.49,13,4.96107024171537,4.99757648344631,2,48
"350",3.5,0.5,13,4.91716739748357,4.95376112479014,2,48
"351",4,0.01,15,4.76360167464665,5.47007565147072,0,258
"352",4,0.02,15,4.77846620776894,5.66758787256083,0,227
"353",4,0.03,15,4.90217825856772,5.71894930504725,0,202
"354",4,0.04,15,4.55707619641784,5.64782221145642,0,185
"355",4,0.05,15,4.64078373792752,5.86296136056056,0,172
"356",4,0.06,15,4.29392305156953,5.2602474413,0,154
"357",4,0.07,15,4.31419955847711,5.08775838257245,0,147
"358",4,0.08,15,4.49317047679306,5.18018057751295,0,136
"359",4,0.09,15,4.35467957715005,5.06782005576635,0,126
"360",4,0.1,15,4.27661561038578,4.87062075478531,0,121
