出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"110/05/29","103","4","3664","安瑞-KY","1256817.00","300325.00","956492.00","--","--","956492.00","1017877.00","--","-61385.00","84358.00","22973.00","10217.00","12756.00","0.00","--","12756.00","75774.00","--","88530.00","12756.00","--","--","88530.00","--","--","0.17"
"110/05/29","103","4","3666","光耀","1542633.00","1185182.00","357451.00","--","--","357451.00","181281.00","--","176170.00","61606.00","237776.00","10281.00","227495.00","--","--","227495.00","3278.00","--","230773.00","227495.00","--","--","230773.00","--","--","5.13"
"110/05/29","103","4","3672","康聯訊","749101.00","476692.00","272409.00","--","--","272409.00","156896.00","--","115513.00","5208.00","120721.00","25454.00","95267.00","--","--","95267.00","-3438.00","--","91829.00","91416.00","--","3851.00","87978.00","--","3851.00","3.66"
"110/05/29","103","4","3675","德微","1101487.00","942593.00","158894.00","0.00","0.00","158894.00","99595.00","--","59299.00","9820.00","69119.00","11422.00","57697.00","--","--","57697.00","1030.00","--","58727.00","57697.00","--","--","58727.00","--","--","1.30"
"110/05/29","103","4","3680","家登","1863889.00","1504255.00","359634.00","--","--","359634.00","333019.00","--","26615.00","10408.00","37023.00","6725.00","30298.00","--","--","30298.00","7281.00","--","37579.00","32024.00","--","-1726.00","39305.00","--","-1726.00","0.51"
"110/05/29","103","4","3684","榮昌","512750.00","313586.00","199164.00","--","--","199164.00","125717.00","--","73447.00","8659.00","82106.00","14768.00","67338.00","--","--","67338.00","3735.00","--","71073.00","67338.00","--","--","71073.00","--","--","3.40"
"110/05/29","103","4","3685","元創精密","602283.00","459877.00","142406.00","--","--","142406.00","138881.00","--","3525.00","-94067.00","-90542.00","10011.00","-100553.00","--","--","-100553.00","30239.00","--","-70314.00","-100553.00","--","--","-70314.00","--","--","-2.18"
"110/05/29","103","4","3687","歐買尬","366703.00","295943.00","70760.00","--","--","70760.00","336994.00","--","-266234.00","-124979.00","-391213.00","22133.00","-413346.00","--","--","-413346.00","25098.00","--","-388248.00","-381882.00","--","-31464.00","-356784.00","--","-31464.00","-12.70"
"110/05/29","103","4","3689","湧德","5155785.00","3787846.00","1367939.00","--","--","1367939.00","741705.00","--","626234.00","9315.00","635549.00","132415.00","503134.00","--","--","503134.00","77733.00","--","580867.00","508507.00","--","-5373.00","586240.00","--","-5373.00","7.38"
"110/05/29","103","4","3691","碩禾","9679216.00","7650185.00","2029031.00","--","--","2029031.00","508189.00","--","1520842.00","199472.00","1720314.00","237504.00","1482810.00","--","--","1482810.00","8613.00","--","1491423.00","1494475.00","--","-11665.00","1503088.00","--","-11665.00","24.54"
"110/05/29","103","4","3693","營邦","3549307.00","2598735.00","950572.00","--","--","950572.00","531400.00","--","419172.00","40465.00","459637.00","95010.00","364627.00","--","--","364627.00","6796.00","--","371423.00","364627.00","--","--","371423.00","--","--","9.53"
"110/05/29","103","4","3707","漢磊","749873.00","760725.00","-10852.00","--","--","-10852.00","106183.00","--","-117035.00","12589.00","-104446.00","22828.00","-127274.00","--","--","-127274.00","-6081.00","--","-133355.00","-127274.00","--","0.00","-133355.00","--","0.00","-0.79"
"110/05/29","103","4","4102","永日","277483.00","273906.00","3577.00","--","--","3577.00","76871.00","--","-73294.00","4750.00","-68544.00","-2093.00","-66451.00","--","--","-66451.00","-1086.00","--","-67537.00","--","--","--","--","--","--","-1.57"
"110/05/29","103","4","4105","東洋","2979902.00","1087903.00","1891999.00","19491.00","26428.00","1898936.00","1560841.00","--","338095.00","571745.00","909840.00","98145.00","811695.00","--","--","811695.00","16870.00","--","828565.00","779645.00","--","32050.00","796482.00","--","32083.00","3.14"
"110/05/29","103","4","4107","邦特","1123668.00","648501.00","475167.00","--","--","475167.00","176849.00","--","298318.00","38119.00","336437.00","45535.00","290902.00","--","--","290902.00","26206.00","--","317108.00","290902.00","--","--","317108.00","--","--","3.43"
"110/05/29","103","4","4109","加捷生醫","588817.00","398981.00","189836.00","--","--","189836.00","184611.00","--","5225.00","4127.00","9352.00","1986.00","7366.00","--","--","7366.00","3477.00","--","10843.00","20458.00","--","-13092.00","23932.00","--","-13089.00","0.29"
"110/05/29","103","4","4111","濟生","942803.00","657390.00","285413.00","--","--","285413.00","195719.00","--","89694.00","5293.00","94987.00","22024.00","72963.00","--","--","72963.00","6608.00","--","79571.00","72963.00","--","--","79571.00","--","--","1.33"
"110/05/29","103","4","4113","聯上","2546618.00","1455394.00","1091224.00","--","--","1091224.00","199275.00","--","891949.00","-38643.00","853306.00","32626.00","820680.00","0.00","--","820680.00","-875.00","--","819805.00","--","--","--","--","--","--","6.41"
"110/05/29","103","4","4114","健喬","1476008.00","785796.00","690212.00","--","--","690212.00","741713.00","--","-51501.00","133613.00","82112.00","20544.00","61568.00","--","--","61568.00","-51254.00","--","10314.00","110267.00","--","-48699.00","59013.00","--","-48699.00","0.95"
"110/05/29","103","4","4116","明基醫","1015229.00","651395.00","363834.00","--","--","363834.00","268726.00","--","95108.00","5821.00","100929.00","25274.00","75655.00","--","--","75655.00","402.00","--","76057.00","78015.00","--","-2360.00","78417.00","--","-2360.00","2.06"
"110/05/29","103","4","4120","友華","5000241.00","3011839.00","1988402.00","--","--","1988402.00","1775073.00","--","213329.00","19350.00","232679.00","101576.00","131103.00","--","--","131103.00","-74214.00","--","56889.00","195824.00","--","-64721.00","118670.00","--","-61781.00","2.26"
"110/05/29","103","4","4121","優盛","3333881.00","2419869.00","914012.00","--","--","914012.00","1012161.00","--","-98149.00","95149.00","-3000.00","3661.00","-6661.00","--","--","-6661.00","62.00","--","-6599.00","-2727.00","--","-3934.00","516.00","--","-7115.00","-0.04"
"110/05/29","103","4","4123","晟德","898759.00","538777.00","359982.00","--","--","359982.00","429488.00","--","-69506.00","654357.00","584851.00","106878.00","477973.00","--","--","477973.00","53956.00","--","531929.00","333262.00","--","144711.00","409598.00","--","122331.00","1.77"
"110/05/29","103","4","4126","太醫","1506664.00","963325.00","543339.00","0.00","0.00","543339.00","183288.00","--","360051.00","32432.00","392483.00","65494.00","326989.00","0.00","--","326989.00","-1864.00","--","325125.00","326989.00","0.00","0.00","325125.00","0.00","0.00","4.95"
"110/05/29","103","4","4127","天良","843987.00","331686.00","512301.00","--","--","512301.00","429015.00","0.00","83286.00","-7147.00","76139.00","14640.00","61499.00","--","--","61499.00","-85.00","--","61414.00","61499.00","--","--","61414.00","--","--","1.34"
"110/05/29","103","4","4128","中天","1399356.00","829303.00","570053.00","--","--","570053.00","957595.00","--","-387542.00","126363.00","-261179.00","-46146.00","-215033.00","--","--","-215033.00","-57532.00","--","-272565.00","-140426.00","--","-74607.00","-198673.00","--","-73892.00","-0.33"
